Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost,edges--transmission_edge--fixed_om_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction,Note
OneWayTransmissionLink,BR_AC_CO2_Pipeline_Parecis,BR_AC,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AC,co2_transported_BR_AC_Parecis,900,0,1164992,34950,0,0.11,50,20,0,
OneWayTransmissionLink,BR_AL_CO2_Pipeline_SergipeAlagoas,BR_AL,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AL,co2_transported_BR_AL_SergipeAlagoas,200,0,307999,9240,0,0.11,50,20,0,
OneWayTransmissionLink,BR_AP_CO2_Pipeline_Parecis,BR_AP,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AP,co2_transported_BR_AP_Parecis,900,0,1164992,34950,0,0.11,50,20,0,
OneWayTransmissionLink,BR_AM_CO2_Pipeline_Parecis,BR_AM,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_AM,co2_transported_BR_AM_Parecis,900,0,1164992,34950,0,0.11,50,20,0,
OneWayTransmissionLink,BR_BA_CO2_Pipeline_Reconcavo,BR_BA,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_BA,co2_transported_BR_BA_Reconcavo,200,0,307999,9240,0,0.11,50,20,0,
OneWayTransmissionLink,BR_CE_CO2_Pipeline_Ceara,BR_CE,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_CE,co2_transported_BR_CE_Ceara,100,0,158223,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_DF_CO2_Pipeline_SaoFrancisco,BR_DF,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_DF,co2_transported_BR_DF_SaoFrancisco,300,0,158223,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_ES_CO2_Pipeline_EspiritoSanto,BR_ES,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_ES,co2_transported_BR_ES_EspiritoSanto,100,0,448767,13463,0,0.11,50,20,0,
OneWayTransmissionLink,BR_GO_CO2_Pipeline_SaoFrancisco,BR_GO,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_GO,co2_transported_BR_GO_SaoFrancisco,300,0,448767,13463,0,0.11,50,20,0,
OneWayTransmissionLink,BR_MA_CO2_Pipeline_Ceara,BR_MA,CO2Captured,TRUE,TRUE,FALSE,FALSE,TRUE,co2_captured_BR_MA,co2_transported_BR_MA_Ceara,100,0,158223,4747,0,0.11,50,20,0,
