elec_demand_SE;elec_demand_S;elec_demand_NE;elec_demand_N;Demand_Zero
4273.534;1514.659;16481.411;2112.51;0
4251.816;1367.85;16763.704;2114.391;0
4172.258;1296.002;17386.341;2110.034;0
4124.318;1185.719;17222.615;2122.565;0
4137.844;1110.185;17683.774;2129.336;0
4440.738;1064.716;17779.604;2094.165;0
6624.658;1632.211;17158.411;2123.397;0
9540.589;2642.857;15948.148;2350.538;0
11814.795;3617.828;13191.87;2699.106;0
13952.765;4421.072;11211.502;3021.317;0
15265.713;5149.177;10151.544;3282.4;0
15640.402;5608.157;10210.778;3361.122;0
15090.872;5518.092;10192.41;3328.249;0
14282.05;5024.187;10348.334;3203.688;0
13143.074;4571.691;11596.745;3057.302;0
12372.628;4137.741;13270.917;2835.393;0
10144.798;3484.426;14035.379;2537.778;0
6801.82;2273.097;12792.969;2268.027;0
4677.784;1303.172;13019.907;2117.607;0
4283.888;657.745;14432.583;2105.262;0
4279.089;703.942;14527.314;2128.729;0
4280.761;824.036;14572.567;2136.831;0
4282.277;535.784;15041.554;2155.83;0
4279.817;622.188;16168.736;2170.973;0
4246.883;439.718;15992.918;2168.414;0
4249.223;248.854;16154.826;2155.067;0
4241.478;206.019;16664.615;2149.72;0
4240.363;274.618;16775.254;2146.473;0
4249.635;718.487;16470.171;2133.318;0
4533.437;577.473;16740.326;2139.364;0
6599.168;1087.006;18374.283;2252.478;0
10314.657;2196.613;20750.441;2520.1;0
13750.986;3335.459;20787.728;2866.356;0
15663.718;4306.208;18760.891;3203.264;0
18146.887;5054.382;18342.29;3410.828;0
19660.258;5436.481;17320.974;3434.991;0
19882.05;5252.815;16246.245;3343.819;0
18776.993;4709.306;16237.558;3231.498;0
17647.91;4097.594;16744.631;3094.001;0
15762.877;3280.644;16466.243;2812.409;0
12514.288;2647.998;15297.65;2469.887;0
7425.348;2005.265;13824.882;2176.828;0
4676.224;1505.632;14210.086;2037.514;0
4247.024;1116.081;16429.969;2025.2;0
4239.983;965.117;17292.388;2056.815;0
4241.173;871.825;17714.666;2062.127;0
4242.103;759.712;17672.4;2071.818;0
4237.887;687.237;17422.554;2075.6;0
4244.011;611.08;17193.113;2020.805;0
4244.203;557.033;17619.897;2028.045;0
4237.275;447.23;17974.852;2019.586;0
4249.694;461.248;17803.315;1996.185;0
4247.375;599.185;17533.117;1993.549;0
4558.285;835.026;17671.45;2014.211;0
7029.948;1489.482;18482.053;2083.527;0
10956.696;2554.912;20493.079;2388.584;0
